,Weapon,Name,Rating,Accuracy(%),Shot fired,Hits,Deaths,DMG_Get
0,Rifle,Wojtek,70.8,20.1,3509.0,704.0,40.0,464.0
1,Rifle,Emil,55.8,15.8,4771.0,753.0,54.0,591.0
2,Rifle,Adrian,47.6,16.7,3526.0,589.0,59.0,549.0
3,Rifle,Kinga,47.5,15.2,3184.0,484.0,42.0,442.0
4,Gun,Wiktoria,24.7,10.3,3481.0,359.0,66.0,583.0
5,Gun,Natalka,24.4,14.5,2365.0,343.0,68.0,603.0
6,Gun,Oliwier,73.9,14.9,2092.0,311.0,19.0,181.0
7,Rifle,Irek,65.1,12.5,890.0,111.0,4.0,70.0
8,Rifle,Grzegorz,46.1,22.7,1446.0,328.0,34.0,344.0
9,Rifle,Jakub,45.1,10.6,2165.0,229.0,16.0,204.0
10,Gun,Krystian,43.8,14.4,1484.0,213.0,17.0,208.0
11,Gun,Beata,31.1,12.3,1711.0,211.0,27.0,281.0
12,Gun,Marzena,19.7,7.3,1709.0,124.0,25.0,239.0
13,Gun,Niko,90.1,20.0,2923.0,585.0,23.0,302.0
14,Rifle,Kamil,74.2,19.7,2491.0,490.0,30.0,306.0
15,Gun,Stasiek,53.0,13.7,2198.0,302.0,18.0,241.0
16,Gun,Hanako,39.7,17.8,1878.0,335.0,42.0,380.0
17,Gun,Wojtek,29.8,5.9,3066.0,181.0,16.0,225.0
18,Gun,Jastrząb,28.9,10.9,2337.0,254.0,37.0,356.0
19,Gun,Max,22.4,7.4,2528.0,187.0,28.0,318.0
20,Gun,Biały,9.7,5.5,1334.0,74.0,32.0,280.0
21,Gun,Lorenzo,116.3,27.1,1781.0,482.0,57.0,398.0
22,Gun,Łukasz,77.5,23.9,1622.0,387.0,45.0,311.0
23,Rifle,Patryk_S,70.2,19.7,1580.0,311.0,53.0,367.0
24,Gun,Norbert,65.4,21.8,1674.0,365.0,50.0,362.0
25,Rifle,Michał,63.3,19.9,2683.0,534.0,65.0,608.0
26,Gun,Kacper_Rz,52.1,23.6,1164.0,275.0,46.0,312.0
27,Gun,Szymon,47.8,14.3,1496.0,214.0,45.0,305.0
28,Gun,Patryk_M,44.1,15.4,1612.0,248.0,73.0,478.0
29,Rifle,Maciej,40.8,17.7,1698.0,301.0,57.0,488.0
30,Gun,Antek,40.7,17.2,1343.0,231.0,50.0,313.0
31,Rifle,Kacper_J,30.5,20.5,1184.0,243.0,72.0,475.0
32,Gun,Kuba,25.5,14.8,1618.0,239.0,64.0,518.0
33,Gun,Lilka,20.2,13.2,1458.0,192.0,66.0,495.0
34,Gun,Kacper_Z,15.0,6.9,2342.0,162.0,85.0,650.0
35,Gun,Gruby,93.6,15.2,3990.0,607.0,25.0,281.0
36,Rifle,Tytus,70.2,17.5,2197.0,384.0,24.0,245.0
37,Gun,Zamaskowany,63.5,20.2,1851.0,373.0,20.0,274.0
38,Rifle,Dinozaur_Pimpuś,53.6,20.2,2415.0,488.0,42.0,425.0
39,Gun,Mario_Blazej,19.5,7.9,1581.0,125.0,19.0,247.0
40,Rifle,Feliks,18.4,10.0,1534.0,154.0,42.0,334.0
41,Rifle,Szymon_Cz.,16.6,10.0,818.0,82.0,15.0,197.0
42,Gun,Szymon,9.8,8.4,843.0,71.0,25.0,281.0
43,Gun,Ola,64.3,11.9,1785.0,212.0,9.0,135.0
44,Rifle,Radek,61.2,20.0,1579.0,316.0,22.0,240.0
45,Rifle,Tomek,55.5,28.0,846.0,237.0,18.0,221.0
46,Rifle,Rambo,52.1,16.5,1227.0,202.0,13.0,171.0
47,Gun,Ania,29.3,16.2,1170.0,189.0,31.0,284.0
48,Gun,Hosia,27.7,9.8,906.0,89.0,12.0,127.0
49,Gun,Zuzia,24.8,6.4,2053.0,131.0,18.0,198.0
50,Rifle,Wadimek,105.7,20.6,3241.0,667.0,35.0,356.0
51,Rifle,Mateusz,73.2,17.3,2449.0,424.0,41.0,397.0
52,Rifle,Daro,65.6,18.6,2494.0,465.0,42.0,395.0
53,Rifle,Adi,51.7,19.6,1943.0,380.0,43.0,412.0
54,Rifle,BigSim,26.1,11.7,1850.0,216.0,49.0,441.0
55,Rifle,Kacper,18.2,10.0,1943.0,194.0,67.0,498.0
56,Gun,Nikita,4.1,1.5,1807.0,28.0,32.0,282.0
57,Gun,Biała_Pantera,3.1,0.8,1997.0,16.0,19.0,209.0
58,Rifle,Marek,128.1,22.8,1121.0,256.0,21.0,162.0
59,Rifle,Dziki_Dzik,70.4,24.9,1419.0,354.0,72.0,472.0
60,Rifle,Nudziarz4,55.9,19.0,1101.0,209.0,45.0,315.0
61,Rifle,Dominik,46.2,23.9,683.0,163.0,51.0,341.0
62,Rifle,Zabójcza_Łasica,24.7,14.8,758.0,112.0,59.0,369.0
63,Rifle,100_Twarzy_Grzybiarzy,19.6,14.5,765.0,111.0,86.0,518.0
64,Rifle,Kubuś,18.2,13.9,423.0,59.0,52.0,317.0
65,Gun,Szymek,58.3,15.8,3220.0,509.0,36.0,382.0
66,Gun,Marek,58.2,19.3,3468.0,670.0,67.0,531.0
67,Gun,Adrian,53.6,26.1,1515.0,396.0,41.0,374.0
68,Gun,Kubik,48.0,12.8,3875.0,495.0,38.0,431.0
69,Rifle,Dawid_Ż,47.0,16.7,2140.0,357.0,35.0,337.0
70,Gun,Marcelo,38.2,22.4,1605.0,360.0,43.0,454.0
71,Gun,Borys,37.3,11.1,2171.0,241.0,15.0,262.0
72,Gun,Dawid_W,36.9,19.4,1656.0,321.0,36.0,402.0
73,Gun,Mateusz,34.9,12.2,2910.0,356.0,37.0,422.0
74,Gun,Miłosz,19.1,6.1,1896.0,116.0,14.0,226.0
75,Gun,Łukasz,107.6,26.3,1941.0,510.0,53.0,396.0
76,Gun,Arek,85.6,15.3,2646.0,405.0,38.0,301.0
77,Gun,Adrian_Sz,48.7,17.6,829.0,146.0,29.0,212.0
78,Rifle,Michał_K,31.3,13.0,1589.0,206.0,62.0,413.0
79,Gun,Adrian_T,25.6,12.1,1454.0,176.0,73.0,470.0
80,Gun,Michał_F,16.7,7.3,1370.0,100.0,47.0,366.0
81,Gun,Pan_Młody,13.8,8.8,1105.0,97.0,55.0,418.0
82,Rifle,Michał,39.8,22.1,1205.0,266.0,42.0,362.0
83,Rifle,Dawid,63.2,21.2,1766.0,374.0,38.0,340.0
84,Rifle,Krystian,41.2,12.7,2001.0,255.0,23.0,282.0
85,Rifle,Wojtek,33.6,9.7,2094.0,204.0,34.0,301.0
86,Gun,Rudy,112.6,27.3,1121.0,306.0,31.0,217.0
87,Gun,MD,92.8,22.1,2028.0,448.0,45.0,375.0
88,Rifle,Bartek,60.9,18.9,1442.0,273.0,33.0,295.0
89,Rifle,Kicha,59.4,25.4,819.0,208.0,38.0,283.0
90,Rifle,Piotr,49.2,14.0,1619.0,227.0,31.0,268.0
91,Rifle,Sebastian,47.3,15.3,1475.0,225.0,38.0,308.0
92,Gun,Sławomir,41.9,18.6,1299.0,242.0,38.0,323.0
93,Rifle,Samson,39.9,13.7,899.0,123.0,20.0,136.0
94,Gun,Kawaler,39.5,14.3,973.0,139.0,35.0,246.0
95,Gun,Baron,29.5,12.6,667.0,84.0,31.0,202.0
96,Gun,Marzec,28.6,15.4,855.0,132.0,33.0,290.0
97,Gun,Baryt,27.9,6.0,977.0,59.0,19.0,138.0
98,Rifle,Damiancio,27.7,16.5,938.0,155.0,49.0,307.0
