,0
0,Adelajda
1,Adela
2,Ada
3,Adelaide
4,Adriana
5,Ada
6,Adusia
7,Adriana
8,Adrianna
9,Ada
10,Adusia
11,Adrienne
12,Agata
13,Aga
14,Agatka
15,Ata
16,Agusia
17,Agatha
18,Agnieszka
19,Aga
20,Jagna
21,Jagienka
22,Agusia
23,Agnes
24,Aleksandra
25,Ola
26,Olka
27,Ala
28,Alexandra
29,Alexis
30,Aleksja
31,Ala
32,Ola
33,Alexia
34,Alicja
35,Ala
36,Alice
37,Alicia
38,Alina
39,Alinka
40,Ala
41,Alina
42,Amanda
43,Amandzia
44,Amanda
45,Mandy
46,Amelia
47,Amelka
48,Amelcia
49,Amelie
50,Anastazja
51,Nastka
52,Anastasia
53,Stacy
54,Andrea
55,Andzia
56,Rea
57,Andrea
58,Andrzeja
59,Andzia
60,Andrea
61,Aneta
62,Anetka
63,Annette
64,Angela
65,Angelka
66,Angela
67,Angelika
68,Angela
69,Andzia
70,Angelica
71,Angelina
72,Angelinka
73,Angelina
74,Aniela
75,Anielka
76,Angela
77,Anita
78,Anitka
79,Anicia
80,Anita
81,Anna
82,Ania
83,Anka
84,Andzia
85,Anusia
86,Aneczka
87,Ann
88,Anne
89,Anna
90,Antonina
91,Antosia
92,Tosia
93,Antoinette
94,Apolonia
95,Pola
96, 
97,Arleta
98,Arletka
99,Arletta
100,Aurelia
101,Aurela
102,Rela
103,Relka
104,Aurelia
105,Balbina
106,Balbinka
107,Balbina
108,Barbara
109,Basia
110,Barbarka
111,Baśka
112,Barbara
113,Beata
114,Beatka
115,Beata
116,Berenika
117,Berenisia
118,Nika
119,Berenice
120,Bogna
121,Bodzia
122,Bogusia
123, 
124,Bogumiła
125,Bogusia
126,Miłka
127, 
128,Bogusława
129,Bogusia
130,Boguśka
131,Gusia
132, 
133,Bożena
134,Bożenka
135, 
136,Brygida
137,Brygidka
138,Bridget
139,Cecylia
140,Cecylka
141,Cyla
142,Cesia
143,Cicely
144,Cilly
145,Celina
146,Celinka
147,Cesia
148,Ceśka
149,Celine
150,Czesława
151,Czesia
152,Cześka
153, 
154,Dagmara
155,Daga
156,Dagusia
157,Dagmar
158,Daniela
159,Dana
160,Daniela
161,Danuta
162,Danka
163,Danusia
164,Dana
165,Donata
166,Daria
167,Darka
168,Darusia
169,Darunia
170,Dana
171,Daria
172,Deksteryn
173,Deks
174,Dyksy
175,Dexterine
176,Dominika
177,Dominisia
178,Dominiczka
179,Domi
180,Domisia
181,Nika
182,Doma
183,Dominique
184,Donata
185,Dona
186,Donka
187,Donata
188,Dorota
189,Dorotka
190,Dorocia
191,Dorothy
192,Dżesika
193,Dżesi
194,Jessica
195,Edyta
196,Edytka
197,Edzia
198,Edith
199,Eleonora
200,Ela
201,Norka
202,Eleanor
203,Eliza
204,Elizka
205,Eliza
206,Elise
207,Elżbieta
208,Ela
209,Elka
210,Elżbietka
211,Elżunia
212,Elza
213,Elizabeth
214,Elisabeth
215,Emilia
216,Emilka
217,Emi
218,Emily
219,Eugenia
220,Genia
221,Gienia
222,Eugenia
223,Ewa
224,Ewka
225,Ewcia
226,Ewunia
227,Eve
228,Ewelina
229,Ewelinka
230,Ewka
231,Ewcia
232,Ewunia
233,Evelyn
234,Fabiola
235,Fabiolka
236,Fabia
237,Fabienne
238,Faustyna
239,Faustynka
240,Faustina
241,Franciszka
242,Frania
243,Frances
244,Francine
245,Gabriela
246,Gabrysia
247,Gaba
248,Gabusia
249,Gabcia
250,Gabi
251,Gabriella
252,Gabrielle
253,Genowefa
254,Genia
255,Genka
256,Genevieve
257,Genoveva
258,Grażyna
259,Grażynka
260,Graża
261,Grażka
262,Grace
263,Halina
264,Halinka
265,Hala
266,Helen
267,Hanna
268,Hania
269,Hanka
270,Hanusia
271,Haniusia
272,Haneczka
273,Hannah
274,Hedwiga
275,Hedzia
276,Hedwisia
277,Hedwig
278,Helena
279,Helenka
280,Hela
281,Helcia
282,Helen
283,Henryka
284,Henrysia
285,Henia
286,Harriet
287,Henrietta
288,Ilona
289,Ilonka
290,Ila
291,Ilona
292,Helen
293,Irena
294,Irenka
295,Irka
296,Irene
297,Iwa
298,Iwunia
299,Iwcia
300,Iva
301,Iwona
302,Iwonka
303,Iwa
304,Iwka
305,Iwcia
306,Yvonne
307,Izabela
308,Iza
309,Izunia
310,Bella
311,Isabella
312,Jadwiga
313,Jadzia
314,Jadwisia
315,Wiga
316,Wisia
317,Hedwig
318,Janina
319,Janka
320,Janeczka
321,Jane
322,Jean
323,Jeannine
324,Joanna
325,Asia
326,Aśka
327,Joasia
328,Joaśka
329,Joan
330,Joanna
331,Joanne
332,Jolanta
333,Jolka
334,Jola
335,Iolanthe
336,Yolanda
337,Józefa
338,Józia
339,Ziuta
340,Josepha
341,Józefina
342,Józefinka
343,Józia
344,Józka
345,Josephine
346,Judyta
347,Judytka
348,Judysia
349,Judith
350,Judy
351,Julia
352,Julka
353,Julcia
354,Jula
355,Julia
356,Julie
357,Justyna
358,Justynka
359,Justysia
360,Justa
361,Justine
362,Kaja
363,Kajka
364,Kay
365,Kaya
366,Kalina
367,Kalinka
368, 
369,Kamila
370,Kamilka
371,Kama
372,Camilla
373,Karina
374,Karinka
375,Karin
376,Karen
377,Karolina
378,Karolinka
379,Karolka
380,Karolcia
381,Lola
382,Caroline
383,Katarzyna
384,Kasia
385,Kaśka
386,Katarzynka
387,Kasieńka
388,Kasiunia
389,Catherine
390,Katharine
391,Kasandra
392,Kasia
393,Kasa
394,Cassandra
395,Kazimiera
396,Kazia
397,Casimira
398,Kinga
399,Kinia
400,Kingusia
401, 
402,Klara
403,Klarusia
404,Klarcia
405,Clare
406,Claire
407,Klaudia
408,Klaudusia
409,Klaudyna
410,Claudia
411,Klementyna
412,Klementynka
413,Clementine
414,Kornelia
415,Nela
416,Nelka
417,Kora
418,Cornelia
419,Krystyna
420,Krystynka
421,Krysia
422,Kryśka
423,Christine
424,Ksenia
425,Ksenka
426,Oksana
427,Xenia
428,Kunegunda
429,Kinia
430,Kunda
431,Kundzia
432,Gunda
433,Cunegond
434,Cunegund
435,Laura
436,Laurentynka
437,Laura
438,Lidia
439,Lidka
440,Lidzia
441,Lydia
442,Lilia
443,Lilka
444,Lila
445,Lilli
446,Lilly
447,Liliana
448,Lilka
449,Lilianka
450,Lila
451,Lillian
452,Linda
453,Lindzia
454,Linda
455,Lucyna
456,Lucia
457,Lucynka
458,Lucine
459,Ludmiła
460,Ludka
461,Miłka
462,Ludmilla
463,Ludwika
464,Ludka
465,Ludzia
466,Louise
467,Luiza
468,Luzia
469,Louise
470,Łucja
471,Łusia
472,Łucka
473,Lusia
474,Lucy
475,Lucia
476,Magdalena
477,Magda
478,Madzia
479,Magdalenka
480,Magdusia
481,Magdalen
482,Maja
483,Majka
484,Majeczka
485,May
486,Malina
487,Malinka
488,Malka
489, 
490,Malwina
491,Malwinka
492,Malwa
493,Melvine
494,Małgorzata
495,Gosia
496,Gośka
497,Małgosia
498,Małgośka
499,Margaret/Maggie
500,Maria
501,Marysia
502,Marynia
503,Maryś
504,Mary
505,Maria
506,Marianna
507,Mańka
508,Mania
509,Marianka
510,Marian
511,Marianne
512,Marietta
513,Marietka
514,Maria
515,Marysia
516,Marietta
517,Mariola
518,Mariolka
519,Mariel
520,Marlena
521,Marlenka
522,Marlene
523,Marta
524,Martunia
525,Martusia
526,Martha
527,Martyna
528,Martynka
529,Martysia
530,Martine
531,Maryla
532,Marylka
533,Marilyn
534,Maryna
535,Marynka
536,Marynia
537,Marina
538,Marzena
539,Marzenka
540,Marion
541,Melania
542,Mela
543,Melka
544,Melanie
545,Michalina
546,Misia
547,Michasia
548,Michelle
549,Mirosława
550,Mira
551,Mirka
552, 
553,Monika
554,Monia
555,Mona
556,Monica
557,Nadia
558,Nadi
559,Nadia
560,Nadya
561,Nadzieja
562,Nadziejka
563,Nadia
564,Nadezda
565,Nadya
566,Hope
567,Natalia
568,Natka
569,Nati
570,Natalie
571,Natasza
572,Nastka
573,Nati
574,Tasza
575,Natasha
576,Nikola
577,Niki
578,Nika
579,Nicole
580,Nina
581,Ninka
582,Nina
583,Odeta
584,Odetka
585,Oda
586,Odet
587,Odette
588,Olga
589,Olgusia
590,Ola
591,Olga
592,Oliwia
593,Oliwka
594,Ola
595,Olive
596,Olivia
597,Otylia
598,Otylka
599,Oti
600,Tola
601,
602,Odile
603,Pamela
604,Pamelka
605,Pama
606,Pam
607,Pamela
608,Patrycja
609,Pati
610,Patka
611,Patricia
612,Paula
613,Paulinka
614,Paula
615,Paulina
616,Paula
617,Paulinka
618,Pauline
619,Pelagia
620,Pela
621,Pegi
622,Pelagia
623,Ramona
624,Rama
625,Ramona
626,Renata
627,Renia
628,Renatka
629,Renée
630,Regina
631,Reginka
632,Rena
633,Regina
634,Roksana
635,Roksanka
636,Roxane
637,Rozalia
638,Rózia
639,Rozalka
640,Rosalie
641,Róża
642,Rózia
643,Różyczka
644,Rose
645,Ruta
646,Rucia
647,Rut
648,Ruth
649,Sabina
650,Sabinka
651,Sabcia
652,Sabine
653,Samanta
654,Samka
655,Sam
656,Samantha
657,Sandra
658,Sandrusia
659,Sandrynka
660,Sandra
661,Sara
662,Sarcia
663,Sarusia
664,Sarah
665,Stanisława
666,Stasia
667,Stacy
668,Stefania
669,Stefcia
670,Stephanie
671,Sylwia
672,Sylwka
673,Sylwunia
674,Sylwcia
675,Sylvia
676,Silvia
677,Szarlota
678,Szarlotka
679,Lotka
680,Charlotte
681,Świętosława
682,Świętosia
683,Tosia
684,Sława
685, 
686,Tamara
687,Tamarka
688,Tam
689,Tama
690,Tamara
691,Tammy
692,Tatiana
693,Tatianka
694,Tania
695,Tatiana
696,Tanya
697,Teodora
698,Dorcia
699,Theodora
700,Teresa
701,Tereska
702,Theresa
703,Urszula
704,Ula
705,Ulka
706,Usia
707,Ursula
708,Violetta
709,Violka
710,Violet
711,Walentyna
712,
713,Valentina
714,Wanda
715,Wandzia
716,Vanda
717,Wanda
718,Wanessa
719,Waneska
720,Wania
721,Vanessa
722,Wera
723,
724,Vera
725,Weronika
726,Wera
727,Werka
728,Nika
729,Veronica
730,Wiara
731,
732,Vera
733,Faith
734,Wiera
735,
736,Vera
737,Wiesława
738,Wiesia
739,Wieśka
740,vele='great'+sław='famous
741,glory
742,renown' 
743,Wiktoria
744,Wika
745,Wiki
746,Victoria
747,Wilhelmina
748,Wilka
749,Wila
750,Wilma
751,Wilhelmina
752,Wioleta
753,Wiola
754,Wioletka
755,Violet
756,Wirginia
757,Wiga
758,Wirgin
759,Virginia
760,Wisława
761,Wisia
762, 
763,Zdzisława
764,Zdzisia
765,Zdzicha
766, 
767,Zenobia
768,Zenia
769,Zenobia
770,Zofia
771,Zosia
772,Zośka
773,Zosieńka
774,Sophie
775,Zuzanna
776,Zuzanka
777,Zuza
778,Susan
779,Zygfryda
780,Zyga
781,Fryda
782,Frydzia
783,Sigfride
784,Zyta
785,Zytka
786,Zita
787,Żaklina
788,Żaklinka
789,Jacqueline
790,Żaneta
791,Żanetka
792,Żanet
793,Janet
794,Jeanette
795,Żywia
796,Żywka
797,Żywa
798,Siwa
