0,Weapon,Name,Rating,Accuracy(%),Shot fired,Hits,Deaths,DMG_Get,Sex
0,Rifle,Wojtek,70.8,20.1,3509.0,704.0,40.0,464.0,Men
1,Rifle,Emil,55.8,15.8,4771.0,753.0,54.0,591.0,Men
2,Rifle,Adrian,47.6,16.7,3526.0,589.0,59.0,549.0,Men
3,Rifle,Kinga,47.5,15.2,3184.0,484.0,42.0,442.0,Women
4,Gun,Wiktoria,24.7,10.3,3481.0,359.0,66.0,583.0,Women
7,Rifle,Irek,65.1,12.5,890.0,111.0,4.0,70.0,Men
8,Rifle,Grzegorz,46.1,22.7,1446.0,328.0,34.0,344.0,Men
9,Rifle,Jakub,45.1,10.6,2165.0,229.0,16.0,204.0,Men
10,Gun,Krystian,43.8,14.4,1484.0,213.0,17.0,208.0,Men
11,Gun,Beata,31.1,12.3,1711.0,211.0,27.0,281.0,Women
12,Gun,Marzena,19.7,7.3,1709.0,124.0,25.0,239.0,Women
13,Gun,Niko,90.1,20.0,2923.0,585.0,23.0,302.0,Men
14,Rifle,Kamil,74.2,19.7,2491.0,490.0,30.0,306.0,Men
17,Gun,Wojtek,29.8,5.9,3066.0,181.0,16.0,225.0,Men
22,Gun,Łukasz,77.5,23.9,1622.0,387.0,45.0,311.0,Men
23,Rifle,Patryk_S,70.2,19.7,1580.0,311.0,53.0,367.0,Men
24,Gun,Norbert,65.4,21.8,1674.0,365.0,50.0,362.0,Men
25,Rifle,Michał,63.3,19.9,2683.0,534.0,65.0,608.0,Men
26,Gun,Kacper_Rz,52.1,23.6,1164.0,275.0,46.0,312.0,Men
27,Gun,Szymon,47.8,14.3,1496.0,214.0,45.0,305.0,Men
28,Gun,Patryk_M,44.1,15.4,1612.0,248.0,73.0,478.0,Men
29,Rifle,Maciej,40.8,17.7,1698.0,301.0,57.0,488.0,Men
30,Gun,Antek,40.7,17.2,1343.0,231.0,50.0,313.0,Men
31,Rifle,Kacper_J,30.5,20.5,1184.0,243.0,72.0,475.0,Men
32,Gun,Kuba,25.5,14.8,1618.0,239.0,64.0,518.0,Men
33,Gun,Lilka,20.2,13.2,1458.0,192.0,66.0,495.0,Women
34,Gun,Kacper_Z,15.0,6.9,2342.0,162.0,85.0,650.0,Men
36,Rifle,Tytus,70.2,17.5,2197.0,384.0,24.0,245.0,Men
40,Rifle,Feliks,18.4,10.0,1534.0,154.0,42.0,334.0,Men
41,Rifle,Szymon_Cz.,16.6,10.0,818.0,82.0,15.0,197.0,Men
42,Gun,Szymon,9.8,8.4,843.0,71.0,25.0,281.0,Men
43,Gun,Ola,64.3,11.9,1785.0,212.0,9.0,135.0,Women
44,Rifle,Radek,61.2,20.0,1579.0,316.0,22.0,240.0,Men
45,Rifle,Tomek,55.5,28.0,846.0,237.0,18.0,221.0,Men
47,Gun,Ania,29.3,16.2,1170.0,189.0,31.0,284.0,Women
51,Rifle,Mateusz,73.2,17.3,2449.0,424.0,41.0,397.0,Men
53,Rifle,Adi,51.7,19.6,1943.0,380.0,43.0,412.0,Men
55,Rifle,Kacper,18.2,10.0,1943.0,194.0,67.0,498.0,Men
58,Rifle,Marek,128.1,22.8,1121.0,256.0,21.0,162.0,Men
61,Rifle,Dominik,46.2,23.9,683.0,163.0,51.0,341.0,Men
64,Rifle,Kubuś,18.2,13.9,423.0,59.0,52.0,317.0,Men
65,Gun,Szymek,58.3,15.8,3220.0,509.0,36.0,382.0,Men
66,Gun,Marek,58.2,19.3,3468.0,670.0,67.0,531.0,Men
67,Gun,Adrian,53.6,26.1,1515.0,396.0,41.0,374.0,Men
69,Rifle,Dawid_Ż,47.0,16.7,2140.0,357.0,35.0,337.0,Men
71,Gun,Borys,37.3,11.1,2171.0,241.0,15.0,262.0,Men
72,Gun,Dawid_W,36.9,19.4,1656.0,321.0,36.0,402.0,Men
73,Gun,Mateusz,34.9,12.2,2910.0,356.0,37.0,422.0,Men
74,Gun,Miłosz,19.1,6.1,1896.0,116.0,14.0,226.0,Men
75,Gun,Łukasz,107.6,26.3,1941.0,510.0,53.0,396.0,Men
76,Gun,Arek,85.6,15.3,2646.0,405.0,38.0,301.0,Men
77,Gun,Adrian_Sz,48.7,17.6,829.0,146.0,29.0,212.0,Men
78,Rifle,Michał_K,31.3,13.0,1589.0,206.0,62.0,413.0,Men
79,Gun,Adrian_T,25.6,12.1,1454.0,176.0,73.0,470.0,Men
80,Gun,Michał_F,16.7,7.3,1370.0,100.0,47.0,366.0,Men
82,Rifle,Michał,39.8,22.1,1205.0,266.0,42.0,362.0,Men
83,Rifle,Dawid,63.2,21.2,1766.0,374.0,38.0,340.0,Men
84,Rifle,Krystian,41.2,12.7,2001.0,255.0,23.0,282.0,Men
85,Rifle,Wojtek,33.6,9.7,2094.0,204.0,34.0,301.0,Men
88,Rifle,Bartek,60.9,18.9,1442.0,273.0,33.0,295.0,Men
90,Rifle,Piotr,49.2,14.0,1619.0,227.0,31.0,268.0,Men
91,Rifle,Sebastian,47.3,15.3,1475.0,225.0,38.0,308.0,Men
92,Gun,Sławomir,41.9,18.6,1299.0,242.0,38.0,323.0,Men
99,Gun,Paweł,26.5,15.4,1075.0,166.0,60.0,404.0,Men
100,Gun,Marek,14.5,7.7,1409.0,108.0,62.0,417.0,Men
101,Rifle,Antek,141.1,22.8,3956.0,901.0,28.0,345.0,Men
102,Rifle,Igor,103.8,20.1,3884.0,782.0,41.0,399.0,Men
103,Rifle,Mariusz_K.,65.1,18.2,3352.0,611.0,50.0,504.0,Men
104,Gun,Julia,46.5,14.6,2587.0,377.0,40.0,426.0,Women
105,Rifle,Marius,42.5,14.4,3778.0,543.0,74.0,625.0,Men
106,Gun,Edi,34.4,9.6,2629.0,253.0,32.0,333.0,Men
108,Gun,Lucy,22.5,11.8,3056.0,361.0,112.0,768.0,Women
109,Gun,Tomek,21.1,19.5,998.0,195.0,75.0,530.0,Men
110,Rifle,Olaf,16.0,13.2,2298.0,304.0,118.0,934.0,Men
111,Rifle,Michał,124.5,14.1,952.0,134.0,3.0,45.0,Men
112,Rifle,Kuba,70.7,20.5,785.0,161.0,15.0,106.0,Men
113,Rifle,Janusz,53.9,18.1,770.0,139.0,13.0,116.0,Men
115,Rifle,Łukasz,32.0,10.6,830.0,88.0,17.0,110.0,Men
117,Rifle,Tomek,25.6,11.6,844.0,98.0,26.0,156.0,Men
118,Rifle,Mikołaj,20.2,9.5,811.0,77.0,29.0,150.0,Men
120,Gun,Mateusz,59.7,12.7,2150.0,274.0,23.0,191.0,Men
124,Rifle,Damian,41.3,15.4,1534.0,236.0,23.0,248.0,Men
125,Gun,Marek,34.4,9.8,1922.0,189.0,25.0,218.0,Men
126,Rifle,Rafał,32.6,11.4,2655.0,302.0,61.0,378.0,Men
127,Gun,Wojtek,16.8,10.2,1096.0,112.0,33.0,267.0,Men
128,Gun,Łukasz,85.6,18.9,1451.0,274.0,3.0,146.0,Men
131,Gun,Wojtek,41.0,24.0,433.0,104.0,5.0,124.0,Men
132,Rifle,Mateusz,37.2,12.9,1049.0,135.0,8.0,151.0,Men
133,Rifle,Janek,33.3,15.1,920.0,139.0,11.0,180.0,Men
135,Gun,Krzysiu,23.0,10.8,1256.0,136.0,17.0,239.0,Men
136,Rifle,Adrian,19.6,15.0,468.0,70.0,10.0,154.0,Men
137,Rifle,Wojtek,164.3,20.9,1332.0,278.0,3.0,79.0,Men
138,Gun,Kuba,42.4,8.0,1282.0,103.0,5.0,93.0,Men
139,Rifle,Mirek,21.8,16.0,681.0,109.0,28.0,219.0,Men
140,Gun,Eryk,15.5,10.2,617.0,63.0,21.0,162.0,Men
145,Rifle,Antek,49.7,22.1,1098.0,243.0,53.0,300.0,Men
152,Gun,Magda,49.9,15.3,1838.0,282.0,30.0,245.0,Women
153,Gun,Asia,39.1,13.3,1811.0,240.0,29.0,258.0,Women
154,Rifle,Alex,35.6,18.5,1068.0,198.0,27.0,253.0,Men
158,Gun,Kuba,36.7,13.5,1210.0,163.0,41.0,331.0,Men
159,Gun,Kamil,31.7,14.5,1086.0,157.0,48.0,374.0,Men
160,Gun,Piotrek,19.5,9.5,1370.0,130.0,63.0,516.0,Men
166,Rifle,Piotrek,73.9,24.8,1539.0,381.0,25.0,256.0,Men
168,Gun,Mateuszek,69.8,16.1,2354.0,380.0,26.0,239.0,Men
169,Gun,Janek,63.2,21.7,1340.0,291.0,21.0,219.0,Men
170,Rifle,Adek,61.5,15.2,1525.0,232.0,13.0,163.0,Men
171,Rifle,Tomek,51.6,18.5,1600.0,296.0,23.0,261.0,Men
172,Gun,Wituś,47.7,17.2,1062.0,183.0,10.0,171.0,Men
173,Gun,Michałek,41.0,13.4,1480.0,198.0,15.0,203.0,Men
175,Gun,Paulina,19.8,8.8,1279.0,112.0,25.0,221.0,Women
176,Gun,Kasia,17.1,8.7,1184.0,103.0,24.0,235.0,Women
178,Gun,Zosia,9.7,7.9,582.0,46.0,16.0,182.0,Women
179,Gun,Justyna,9.7,5.0,1145.0,57.0,19.0,214.0,Women
180,Gun,Agnieszka,8.9,3.4,1104.0,37.0,16.0,147.0,Women
181,Gun,Krystian,72.4,13.2,2414.0,318.0,21.0,214.0,Men
183,Rifle,Przemek,57.5,16.6,1935.0,321.0,34.0,307.0,Men
184,Gun,Kamil,45.8,21.0,1760.0,370.0,61.0,447.0,Men
185,Gun,Tosia,31.7,16.5,1213.0,200.0,41.0,333.0,Women
186,Rifle,Michał,31.6,16.2,1391.0,225.0,46.0,367.0,Men
187,Rifle,Jarek,17.5,8.6,1020.0,88.0,30.0,261.0,Men
188,Gun,Kamil,274.2,28.7,2820.0,810.0,8.0,154.0,Men
189,Rifle,Szymon,209.9,21.8,3342.0,728.0,10.0,165.0,Men
190,Gun,Robert,162.0,27.7,1772.0,491.0,9.0,156.0,Men
192,Gun,Gabryś,118.3,17.7,2266.0,401.0,6.0,152.0,Men
193,Rifle,Natalia,90.7,16.0,1702.0,272.0,7.0,131.0,Women
194,Gun,Ula,17.6,13.4,1745.0,234.0,82.0,560.0,Women
195,Gun,Ada,12.6,16.3,753.0,123.0,54.0,429.0,Women
196,Gun,Karolina,12.6,8.5,2011.0,170.0,61.0,525.0,Women
197,Gun,Amelia,9.4,12.1,1228.0,148.0,83.0,650.0,Women
198,Gun,Krzyś,9.2,5.5,2135.0,118.0,51.0,474.0,Men
199,Gun,Kalina,6.9,6.7,1439.0,97.0,67.0,529.0,Women
200,Rifle,Martin,105.5,24.2,2275.0,550.0,45.0,389.0,Men
201,Rifle,Karol,55.7,20.9,1448.0,303.0,47.0,388.0,Men
202,Rifle,Oskar,62.6,15.6,1679.0,262.0,25.0,254.0,Men
203,Rifle,Marek,33.9,12.6,2326.0,294.0,64.0,547.0,Men
204,Gun,Jakub,30.4,12.0,1417.0,170.0,34.0,302.0,Men
205,Gun,Mirek,30.1,11.1,1796.0,199.0,51.0,430.0,Men
206,Gun,Mateusz,16.4,5.7,1356.0,77.0,19.0,221.0,Men
207,Gun,Szymon,9.7,5.3,862.0,46.0,32.0,252.0,Men
208,Gun,Mateusz,63.2,13.7,2733.0,375.0,29.0,281.0,Men
209,Gun,Janek,62.7,16.0,2143.0,342.0,31.0,281.0,Men
210,Gun,Henryk,28.5,9.5,2455.0,234.0,40.0,361.0,Men
211,Gun,Karol,25.9,9.7,2633.0,256.0,51.0,434.0,Men
212,Rifle,Patryk,134.3,17.0,2594.0,442.0,11.0,146.0,Men
213,Rifle,Miłosz,36.2,16.1,1405.0,226.0,30.0,274.0,Men
214,Gun,Ilona,20.5,9.6,985.0,95.0,18.0,183.0,Women
215,Gun,Zuza,15.2,8.6,1204.0,103.0,29.0,263.0,Women
216,Gun,Karol,108.6,30.7,3473.0,1066.0,47.0,527.0,Men
217,Gun,Julka,103.8,30.4,3365.0,1023.0,47.0,527.0,Women
220,Gun,Miłosz,37.9,13.6,3385.0,462.0,43.0,516.0,Men
221,Gun,Zosia,31.4,14.1,3598.0,508.0,69.0,691.0,Women
223,Gun,Mikołaj,24.5,9.5,4730.0,449.0,69.0,727.0,Men
226,Gun,Michał,84.7,15.1,1577.0,238.0,15.0,193.0,Men
